Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,Metlink_Stop_ID,VicgridX,VicgridY,Boardings,Alightings
24,City(Docklands) to North Balwyn,Down,25-River Bvd/Victoria St (Richmond),0027,2725,19387,2501166.336,2409917.084,29.62301111,12.69557667
24,North Balwyn to City(Docklands),Up,23-Leslie St/Victoria St (Richmond),0027,1723,19736,2500670.872,2409966.971,38.6912806,
24,North Balwyn to City(Docklands),Up,23-Leslie St/Victoria St (Richmond),0027,1723,19736,2500670.872,2409966.971,,12.09102535
3,East Malvern to Melbourne University,Down,35-Carlisle St/St Kilda Rd (St Kilda),0027,1035,21963,2498830.657,2403704.837,49.77472186,19.14412379
3,East Malvern to Melbourne University,Down,35-Carlisle St/St Kilda Rd (St Kilda),0027,1035,21963,2498830.657,2403704.837,45.9458971,49.77472186
3,East Malvern to Melbourne University,Down,35-Carlisle St/St Kilda Rd (St Kilda),0027,1035,21963,2498830.657,2403704.837,7.657649517,26.80177331
3,Melbourne University to East Malvern,Up,30-St Kilda Junction/St Kilda Rd (St Kilda),0027,2030,19566,2498444.486,2405114.896,30.63059711,45.94589686
3,Melbourne University to East Malvern,Up,30-St Kilda Junction/St Kilda Rd (St Kilda),0027,2030,19566,2498444.486,2405114.896,11.48647428,30.63059807
3,Melbourne University to East Malvern,Up,30-St Kilda Junction/St Kilda Rd (St Kilda),0027,2030,19566,2498444.486,2405114.896,26.80177331,57.43237138
35,Docklands to Spring Street,Down,D4-Docklands Park/Harbour Esp (Docklands),0027,3698,18181,2495384.85,2408790.26,35.15697956,78.1266222
35,Docklands to Spring Street,Down,D4-Docklands Park/Harbour Esp (Docklands),0027,3698,18181,2495384.85,2408790.26,35.15697956,15.62532425
35,Spring Street to Docklands,Down,D1-Etihad Stadium/La Trobe St (Docklands),0027,3650,20981,2495311.322,2409604.091,,53.20051169
35,Spring Street to Docklands,Down,D1-Etihad Stadium/La Trobe St (Docklands),0027,3650,20981,2495311.322,2409604.091,43.22541499,16.62515998
