FID,recorddate,dam,volume_ML,volume_percentfull
477,2020/01/18 12:59:59,Sugarloaf,91017,94.56
478,2019/12/19 12:59:59,Tarago,24344,64.77
479,2020/01/07 12:59:59,Cardinia,235781,82.17
480,2019/12/29 12:59:59,Sugarloaf,93470,97.1
481,2020/01/17 12:59:59,Cardinia,235430,82.05
482,2020/01/17 12:59:59,Greenvale,22455,83.66
483,2020/01/17 12:59:59,O'Shannassy,230,7.36
484,2020/01/17 12:59:59,Yan Yean,20783,68.66
485,2020/01/17 12:59:59,Maroondah,19163,86.4
486,2020/01/17 12:59:59,Silvan,34650,85.67
487,2020/01/17 12:59:59,Tarago,24387,64.89
488,2020/01/17 12:59:59,Thomson,594414,55.65
489,2020/01/17 12:59:59,Upper Yarra,88364,44.05
490,2020/01/17 12:59:59,Sugarloaf,90932,94.47
491,2020/01/16 12:59:59,Cardinia,235507,82.08
492,2020/01/16 12:59:59,Greenvale,22390,83.42
